occurs_at,headline_initial,sub_category_name
10 03 2017,"SALON DE L'HABITAT DES IDÉES POUR LA MAISON - SAINT-ÉTIENNESaint-Étienne -- Salon de l'habitat de Saint-Etienne. Salon de l'Habitat des Idées pour la Maison de Saint-Étienne accueille constructeurs de maisons individuelles, promoteurs, aménageurs-lotisseurs, agents et experts immobiliers, banques et administrateurs, notaires",Entreprises
10 03 2017,"FOIRE INTERNATIONALE DE ROUENRouen -- Foire internationale de Rouen. Foire internationale de Rouen expose les produits et services répartis selon 4 univers: Maison, Artisanat et Richesse du Monde, Loisirs et Bien Etre, et Gastronomie",Entreprises
11 03 2017,LILLE - JOURNÉE DES FORMATIONS INTERNATIONALESLille -- Salon de l'étudiant dédié aux formations internationales,Entreprises
11 03 2017,SALON DES FORMATIONS INTERNATIONALESLille -- Salon des formations internationales,Entreprises
11 03 2017,"SALON DES MASTERS 1 & 2, MASTÈRES SPÉCIALISÉS & MBAParis -- Salon des Masters, MS et MBA. Le Salon des Masters 1 & 2, Mastères Spécialisés & MBA est l’événement incontournable pour les étudiants de niveau Bac+3 /4 ou 5 encore à la recherche d’un Master 1, Master 2, Mastère Spécialisé (MS) ou MBA pour la rentrée",Entreprises
11 03 2017,STUDYRAMA INTERNATIONAL MASTERS AND MBA FAIRParis -- Salon international de l'éducation,Entreprises
11 03 2017,STUDYRAMA MASTERS & MBA FAIR (PARIS)Paris -- Salon international de l'éducation,Entreprises
11 03 2017,STUDYRAMA PROParis -- Salon de la formation des cadres et salariés,Entreprises
11 03 2017,KAMASOU MARSEILLEMarseille -- Salon de l'érotisme,Entreprises
11 03 2017,PHARMAGORA PLUSParis -- Forum européen de la pharmacie,Entreprises
11 03 2017,SALON DU GOLF À PARISParis -- Salon du Golf à Paris. Le Paris Pro Golf Show est un événement incontournable du calendrier Golf Business,Entreprises
11 03 2017,"SALON DE L'HABITAT DE SAUMURSaumur -- Salon de l'habitat de Saumur. Le Salon de l'habitat de Saumur vous proposera aménagements, équipements, décorations, constructions et rénovations: tous les spécialistes seront ainsi réunis pour vous conseiller et vous guider dans vos projets maison",Entreprises
11 03 2017,FOIRE-EXPOSITION DE NEVERSNevers -- Foire-Exposition de Nevers,Entreprises
12 03 2017,STOFFEN SPEKTAKEL ARRASArras -- Exposition de tissus et textiles,Entreprises
12 03 2017,VAPEXPO PARISLyon -- Salon international de la cigarette électronique et de la vapologie de Paris,Entreprises
