occurs_at;headline;headline_initial;sub_category_id;Rating;source;valid;description;sub_category_name;month;source_url
15/02/2017;Fête nationale de la Serbie (coup d'État de 1977);Coup d'État de 1977.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-179
16/02/2017;Fête nationale de la Lituanie (anniversaire de l'indépendance);Anniversaire de l'indépendance.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-116
17/02/2017;Leaders Cup  au Parc Disney;17 au 19 fév., Leaders Cup au Parc Disney;33;2;Le Parisien;;;Basket;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
17/02/2017;Fête nationale de la  Libye (révolution libyenne en 2011);la révolution libyen en 2011;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-114
18/02/2017;Fête nationale de la  Gambie (fête de l'indépendance);Fête de l'indépendance.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-74
19/02/2017;Tournoi féminin de  Dubaï;Tournoi féminin de  Dubaï Duty Free Tennis Championships, Dubaï;39;2;Wikipedia;;;Tennis;2;Tournoi féminin de Premier 5 surDur (ext.)avec une dotation de 2 365 250$
20/02/2017;Journée mondiale de la justice sociale;Journée mondiale de la justice sociale (A/RES/62/10);26;2;ONU;;;Justice;2;
20/02/2017;Tournoi masculin de  Rio - ATP 500;Tournoi masculin de  Rio Open presented by Claro, Rio de Janeiro - ATP 500;39;2;Wikipedia;;;Tennis;2;Tournoi de Rio Open presented by Claro, Rio de Janeiro sur Terre (ext.)d'une dotation de 1 461 560 $
20/02/2017;Tournoi masculin de  Delray Beach - ATP 250;Tournoi masculin de  Delray Beach Open, Delray Beach - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Delray Beach Open, Delray Beach sur Dur (ext.)d'une dotation de 534 625 $
20/02/2017;Tournoi masculin de Marseille - ATP 250;Tournoi masculin de  Open 13 Provence, Marseille - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Open 13 Provence, Marseille sur Dur (int.)d'une dotation de 620 660 €
20/02/2017;Tournoi féminin de Budapest;Tournoi féminin de  Hungarian Ladies Open, Budapest;39;1;Wikipedia;;;Tennis;2;Tournoi féminin de Intern'l surDur (int.)avec une dotation de 226 750$
21/02/2017;Journée internationale de la langue maternelle;Journée internationale de la langue maternelle [UNESCO] (A/RES/56/262)  (30C/62);21;2;ONU;;;Diversité;2;
22/02/2017;Fête nationale de Sainte-Lucie (anniversaire de l'indépendance);Anniversaire de l'indépendance.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-172
23/02/2017;Fête nationale de Brunei;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-32
23/02/2017;Fête nationale de Guyana;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-85
24/02/2017;Fête nationale de l'Estonie (indépendance en 1918);Jour de l'Indépendance (1918);45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-66
