occurs_at;headline;headline_initial;sub_category_id;rating;source;valid;description;sub_category_name;month;source_url
20/05/2017;Dernière journée du championnat de France;Dernière journée (38e) 20 mai;35;3;Le Parisien;;;Football;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
20/05/2017;E-Prix de Paris;20 mai, E-Prix de Paris;32;3;Le Parisien;;;Auto-moto;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
20/05/2017;Fête nationale du Cameroun (référendum sur la fin du système fédéral le 20 mai 1972, mais le pays a eu son indépendance le 1er janvier 1960).;Référendum sur la fin du système fédéral le 20 mai 1972. Mais le pays a eu son indépendance le 1er janvier 1960. Sa devise: Paix-Travail-Patrie;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-37
20/05/2017;Fête nationale du Timor oriental (indépendance vis-à-vis de l'Indonésie en 2002).;Indépendance vis-à-vis de l'Indonésie en 2002.;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-199
20/05/2017;Début de la Foire internationale de Bordeaux.;20-28 ▸ Foire internationale de Bordeaux;0;5;Atout France;;;Culture;5;PDF
21/05/2017;Journée mondiale de la diversité culturelle pour le dialogue et le développement;Journée mondiale de la diversité culturelle pour le dialogue et le développement (A/RES/57/249);21;2;ONU;;;Diversité;5;
21/05/2017;Premier barrage - quarts de finale du championnat de France;20 et 21 mai, Barrages quarts de finale;37;3;Le Parisien;;;Rugby;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
21/05/2017;Nuit Européenne des musées.;21▸La nuit Européenne des musées;0;4;Atout France;;;Culture;5;PDF
22/05/2017;Journée internationale de la diversité biologique;Journée internationale de la diversité biologique (A/RES/55/201);23;2;ONU;;;Environnement;5;
22/05/2017;Fête nationale du Yémen.;;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-214
23/05/2017;Journée internationale pour l’élimination de la fistule obstétricale;Journée internationale pour l’élimination de la fistule obstétricale (A/RES/67/147);29;2;ONU;;;Santé;5;
23/05/2017;Début des championnats de France de natation à Schiltigheim;23 au 28 mai, Championnats de France à Schiltigheim;0;2;Le Parisien;;;Sport;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
23/05/2017;Jugement d'une kinésithérapeute pour abus de faiblesse - Tribunal correctionnel - Paris;Le 23/05 - Jugement d'une kinésithérapeute pour abus de faiblesse - Tribunal correctionnel - Paris;26;2;PJ;;;Justice;5;http://www.pressejudiciaire.fr/10.html
24/05/2017;Finale de l'Europa' League à Stockholm;Finale (Stockholm) 24 mai;35;4;Le Parisien;;;Football;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
24/05/2017;Fête nationale des Bermudes (anniversaire de la Reine Victoria, aujourd'hui « Fête des Bermudes » pour célébrer la culture et le patrimoine des îles.);Initialement Anniversaire de la Reine Victoria, aujourd'hui « Fête des Bermudes » pour célébrer la culture et le patrimoine des îles.;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-24
24/05/2017;Fête nationale de l'Érythrée.;;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-64
25/05/2017;Fête nationale de  Jordanie.;;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-103
25/05/2017;Jeudi de l'Ascension;;41;5;Kalendrier.com;;;Jours fériés;5;https://www.kalendrier.com/jours-feries/2017.html
